51,0,124963,0,13,0,3,2,0,1,0,0,40,0,1
50,0,128814,3,9,1,2,5,0,0,0,0,25,0,0
73,-1,191394,4,15,0,-1,2,0,1,0,0,40,0,0
56,0,204049,1,10,0,3,2,0,1,0,1848,50,0,1
51,0,254230,1,10,0,4,2,0,1,0,0,40,0,1
43,0,52498,3,9,1,4,5,0,0,0,0,40,0,1
39,0,230329,0,13,0,3,2,0,1,0,0,40,4,1
50,0,98228,3,9,1,3,5,0,0,0,0,45,0,0
28,0,190350,7,5,0,12,0,4,0,0,0,40,0,0
36,0,160192,3,9,2,2,3,0,1,0,0,40,0,0
49,0,224393,0,13,0,4,2,0,1,0,0,55,0,1
45,0,109434,0,13,0,5,2,0,1,0,0,55,0,0
40,0,124520,6,11,1,1,5,0,1,0,0,50,0,1
40,0,126845,1,10,0,8,2,0,1,0,0,40,0,1
20,0,201204,3,9,2,6,1,0,1,0,0,40,0,0
37,0,333651,3,9,2,8,3,0,1,0,0,42,0,0
32,0,408328,8,4,0,1,2,0,1,0,0,40,0,0
45,0,154430,0,13,4,5,3,0,0,10520,0,50,0,1
33,0,182556,0,13,0,4,2,0,1,0,0,40,0,1
30,0,97521,0,13,0,3,2,0,1,0,0,50,0,1
32,0,163604,10,14,2,5,3,0,0,0,0,20,0,0
28,0,72443,1,10,2,4,3,0,1,0,1669,60,0,0
51,4,152754,0,13,0,8,2,0,1,0,0,40,0,1
23,0,133061,3,9,0,3,2,0,1,0,0,80,0,0
51,0,29580,2,7,0,3,2,0,1,4386,0,30,0,1
46,4,329752,2,7,0,10,2,0,1,0,0,30,0,0
33,0,198660,3,9,0,7,2,0,1,99999,0,56,0,1
44,1,33121,1,10,0,9,2,0,1,0,0,72,0,0
41,0,222596,0,13,0,3,2,0,1,15024,0,45,0,1
35,0,99357,10,14,0,5,0,0,0,15024,0,50,0,1
67,0,105252,10,14,0,4,2,0,1,0,0,40,0,1
26,0,190027,12,6,1,6,3,0,0,0,0,30,0,0
36,0,106964,3,9,0,7,2,0,1,0,0,40,0,0
34,-1,362787,3,9,2,-1,5,4,0,0,0,35,0,0
40,0,34722,1,10,1,10,3,0,1,0,0,48,0,1
41,3,356934,1,10,0,5,2,0,1,0,0,44,0,1
35,0,54595,9,8,2,3,3,4,0,0,0,40,0,0
37,0,212826,3,9,0,2,2,4,1,0,0,40,0,0
36,0,146412,1,10,1,8,5,0,0,0,0,40,0,0
41,0,374764,0,13,4,4,5,0,1,0,0,20,0,0
30,0,177531,3,9,2,3,5,4,0,0,0,25,0,0
54,0,99434,3,9,0,4,2,0,1,0,0,40,0,1
45,1,247379,3,9,0,1,2,0,1,0,0,40,0,1
28,3,183151,5,12,0,8,2,0,1,0,0,60,0,0
54,0,50385,0,13,1,4,3,4,0,0,0,45,0,1
46,0,146919,3,9,0,8,0,0,0,0,0,40,0,1
32,0,101283,3,9,2,6,3,0,0,0,0,35,0,0
42,0,220049,3,9,0,3,2,4,1,0,0,40,0,1
21,0,186314,3,9,0,8,2,0,1,0,0,40,0,0
30,0,65278,3,9,0,0,2,0,1,0,0,40,0,1
25,0,204338,12,6,0,1,2,0,1,0,0,40,20,0
52,5,334273,5,12,0,3,2,0,1,0,0,40,0,1
42,1,39539,3,9,0,9,2,0,1,0,0,99,0,1
23,0,373628,0,13,2,2,1,0,0,0,0,20,0,0
46,-1,233014,3,9,1,-1,3,4,0,0,0,40,0,0
47,4,194360,3,9,0,2,0,0,0,0,0,7,0,1
39,0,176186,1,10,0,7,2,0,1,0,0,40,0,1
